text,labels,source,pred,pred_label,true_label,confidence
american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,2,sst2_val,0,positive,negative,0.9664246
""" Possibly, yes.""",0,twitter_test,1,neutral,positive,0.9655448
"""eating some breakfast at Panera Bread. boring cloudy weather, lil drizzle""",1,twitter_test,2,negative,neutral,0.9645527
"""  I`ve run out of earl grey, so having lemon tea instead, then whb for me too""",2,twitter_test,1,neutral,negative,0.9644273
I didn`t get a callback for the play I cried...  oh well I guess it`s back to being a techie..,1,twitter_test,2,negative,neutral,0.9637578
this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . ,0,sst2_val,2,negative,positive,0.9630335
""" Good Grief! I can`t say much, I was driving home from Martin through IKE last fall. Be interesting to hear what he says!""",1,twitter_test,0,positive,neutral,0.9625515
At the bus stop there`s always a big pile of loogies. So. Gross.,0,twitter_test,2,negative,positive,0.9624039
_k_2k - Y!360 closing? get out!,2,twitter_test,1,neutral,negative,0.96233016
i`m not feeling twitter at the moment,1,twitter_test,2,negative,neutral,0.9622691
the AC tix are actually $20 but the show is sold out.  I`d have to get tix through stubhub and pay up to $70.,2,twitter_test,1,neutral,negative,0.96130973
Internet 1 drawing 0 ....**** I`m backing up blackberry files which could take hours  then to the drawing preps done,2,twitter_test,1,neutral,negative,0.96129465
""" oic, where in Cavite? no sorry im not from America ... if you can see my profile, there`s no word like America there""",1,twitter_test,2,negative,neutral,0.9600663
"""Hmm, had first pizza in ages and feel a bit sick now  That`ll teach me!""",1,twitter_test,2,negative,neutral,0.95993775
grrrrrrrrrrrrrr ive barely read any of it,1,twitter_test,2,negative,neutral,0.9595667
"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",0,sst2_val,2,negative,positive,0.959366
"""Working... And attempting to keep squirrels away.............. Squirels 1, jesska 0   I should stick to spiders""",2,twitter_test,1,neutral,negative,0.9588914
"""_ Heading off to Poole around 4ish,  has some serious gardening to do before we go, no Tweetdeck til Sunday evening,""",2,twitter_test,1,neutral,negative,0.9588401
OmG U NasTY,2,twitter_test,1,neutral,negative,0.95869917
"the lower your expectations , the more you 'll enjoy it . ",2,sst2_val,0,positive,negative,0.9583711
taking care of sick children,0,twitter_test,2,negative,positive,0.95822334
""" Yes, have to be right for church""",0,twitter_test,1,neutral,positive,0.95719093
but it still jingles in the pocket . ,0,sst2_val,2,negative,positive,0.95618933
"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",0,sst2_val,2,negative,positive,0.95615935
"""_Walker21 sadly no, I`ll be going to the killumbus show. I really want to but no one wants to drive me there""",1,twitter_test,2,negative,neutral,0.9560017
it has all the excitement of eating oatmeal . ,2,sst2_val,0,positive,negative,0.9555913
long day and i still have to mow the lawn,2,twitter_test,1,neutral,negative,0.9553976
Hey Mitchel when will you be live again? I didn`t get a chance to call you,2,twitter_test,1,neutral,negative,0.9549767
""" Aw, that song makes me think of girl scouts.""",0,twitter_test,1,neutral,positive,0.9543633
Downing a glass of ginger ale and then relishing an early evening in bed with 'Because I Said So' on Lifetime.,1,twitter_test,0,positive,neutral,0.9543338
well there go my peace corps prospects.,0,twitter_test,1,neutral,positive,0.95405686
cannot relaxing because she have to practice for her graduation,1,twitter_test,2,negative,neutral,0.9539679
is awake.  Still feeling sick.     But I got the blog done at least. http://plurk.com/p/x17t9,0,twitter_test,2,negative,positive,0.9532534
""" thank you! i was just playing that a moment ago, actually! a very different, even more chill version.  *spooky*! haha.""",1,twitter_test,0,positive,neutral,0.95322794
"""waiting for aaron to get into town, and then leave him for work. booo""",2,twitter_test,1,neutral,negative,0.9522865
i cant,1,twitter_test,2,negative,neutral,0.95205617
Just found mj mouse flats at DJs. Of course there are none left in my size,2,twitter_test,1,neutral,negative,0.95167255
ughh on the phone with HP!,1,twitter_test,2,negative,neutral,0.9513521
"""watching a film, recovering from my operation""",0,twitter_test,1,neutral,positive,0.9508168
I lost 15 dollars. I always lose my money,1,twitter_test,2,negative,neutral,0.9499322
the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not . ,2,sst2_val,0,positive,negative,0.94927883
sam mendes has become valedictorian at the school for soft landings and easy ways out . ,2,sst2_val,0,positive,negative,0.94904655
_me Thanks! Kinda bittersweet though,1,twitter_test,0,positive,neutral,0.94849473
im doing that **** right now ... im on vacation and you got me workin,1,twitter_test,2,negative,neutral,0.9483255
Just got the Nashville IHOP staff to hit the Dougie with me and Mayne. What a **** night,0,twitter_test,2,negative,positive,0.9459482
How can you guys lived in a city (paris)where u spend you entire life in the trafficjam...grrrr ...m` not used to it anymore,1,twitter_test,2,negative,neutral,0.9454181
Marking going ok so far A`s and B`s so far - relieved it looks like I have future programmers in class,1,twitter_test,0,positive,neutral,0.9448246
Whole body is sore from moving hundreds of pieces of luggage last weekend.   Guess I should visit the gym more often,1,twitter_test,2,negative,neutral,0.9422788
its weird how thinking about may 2nd totally changed my crappy mood to happiness...i miss  so much,0,twitter_test,2,negative,positive,0.9413401
Just got back from a run & I`m feeling grrrrrreeeeeaat!!!,0,twitter_test,2,negative,positive,0.94105107
Sam can go shoot her self.,2,twitter_test,1,neutral,negative,0.94048744
Boring? Who you been talking to? Lol not me  ( no ****),1,twitter_test,2,negative,neutral,0.94014
arrr bummer  who do you want to win?,1,twitter_test,2,negative,neutral,0.93954486
O.k i feel like i need to cry now  i can`t believe that in less than 2 years ill be walking across the stage to get a High School diploma!,1,twitter_test,2,negative,neutral,0.939167
intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . ,0,sst2_val,2,negative,positive,0.93809354
"""Actually, I think I`ll be more upset if I lost my data for Cake Mania 3. I was pretty far into the game""",1,twitter_test,2,negative,neutral,0.93756104
haha! sorry to hear that,1,twitter_test,2,negative,neutral,0.93741256
_ Truetrue  But he`s not! xD,0,twitter_test,1,neutral,positive,0.9373758
"""  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****""",1,twitter_test,2,negative,neutral,0.93714803
holden caulfield did it better . ,2,sst2_val,0,positive,negative,0.93664974
"""Look, everyone! I`m a bad boy! I`m ranked higher than Meghan McCain!  http://tinyurl.com/oj76mz""",1,twitter_test,2,negative,neutral,0.93604344
rarely has leukemia looked so shimmering and benign . ,2,sst2_val,0,positive,negative,0.93511385
""" umm get ready, help my mum, give GJ his presents when he gets up (could be a while), wait for people to arrive, then party""",0,twitter_test,1,neutral,positive,0.93427724
yeahh  those two times we`ve stood next to each other were special times...,1,twitter_test,0,positive,neutral,0.9339431
it`s mother`s day...i already bought and gave my mother`s day present to my mother.,0,twitter_test,1,neutral,positive,0.9334205
""" hehe, I can almost hear out of my right ear now  Can you yet?""",0,twitter_test,1,neutral,positive,0.9302968
i mean give. lol with a finger! then crash her car! lol jk. thats bad. just ignore her,1,twitter_test,2,negative,neutral,0.9298742
Discovered that Numpy arrays can hold values of any type.  Useful for manipulating arrays of numbers with uncertainties.,2,twitter_test,0,positive,negative,0.9297895
Signing off for the night. Watching 'The Reader' and I`m sure I`ll snooze off at some point. Good night all,1,twitter_test,0,positive,neutral,0.9296079
You have DSL? Welcome to 2009!,0,twitter_test,1,neutral,positive,0.9290675
beat? don`t understand,1,twitter_test,2,negative,neutral,0.9268543
Mudweight hauled in for last time by   http://yfrog.com/0zr2jqj,2,twitter_test,1,neutral,negative,0.9266607
"""48 Laws of Power by Robert Greene. It`s a little bit much for me, but is anyone interested in a copy? DM me if you are""",0,twitter_test,1,neutral,positive,0.9253617
"""For US tweeps, don`t forget to call your mom today...""",0,twitter_test,1,neutral,positive,0.92514
Aaaaahhhh.... Friday!!!! but.......     Funeral at 5,2,twitter_test,1,neutral,negative,0.92503613
Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,1,twitter_test,2,negative,neutral,0.924736
""" Glad you like it  took around 2 and a half hours, would have been less but i kept stopping for food breaks haha  i was""",1,twitter_test,0,positive,neutral,0.9245471
Got a sunburn from Coney Island bike ride,1,twitter_test,2,negative,neutral,0.92418283
yup! way to **** early and I`m already at work,1,twitter_test,2,negative,neutral,0.9227873
At the  concert! I hope  makes a guest appearance,1,twitter_test,0,positive,neutral,0.9227176
That ur anti is what I understood from the message. Sorry left off ur don`t vote BNP msg at end due 2 space,1,twitter_test,2,negative,neutral,0.92250144
"""I wish i had my iPod , i need some jonas . I miss their sexy voices  JB forever !""",1,twitter_test,2,negative,neutral,0.9218656
"... routine , harmless diversion and little else . ",0,sst2_val,2,negative,positive,0.92185676
no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes . ,0,sst2_val,2,negative,positive,0.9216572
oh poor you  atleast get paid for staying back or?,1,twitter_test,2,negative,neutral,0.9210636
reconnecting with amadeus and friends,1,twitter_test,0,positive,neutral,0.92092454
I know.  I am definitely going to try and see Up this weekend.,0,twitter_test,1,neutral,positive,0.9190261
""" Please send me those youtube links, Erin watched most of them but I was cooking and didn`t get to see the cowboys""",2,twitter_test,1,neutral,negative,0.9188778
"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",0,sst2_val,2,negative,positive,0.9187917
this creepy guy when I was walking the dog  I`ve had my fill of creepers for the day,1,twitter_test,2,negative,neutral,0.91782546
lao mein and spanikopita HAHA you would have to be here to know,0,twitter_test,1,neutral,positive,0.9172469
Is trying to recover from a broken heart....yet again for the 2nd or 3rd time,1,twitter_test,2,negative,neutral,0.9171918
Pair it up with Fringe on Tuesday? That smells like a win imo as well.,1,twitter_test,0,positive,neutral,0.916397
i 'll bet the video game is a lot more fun than the film . ,2,sst2_val,0,positive,negative,0.9163253
- ummmm. no comment. LOL. I actually have not watched GH in about a week.,0,twitter_test,1,neutral,positive,0.9162084
I want Crimson Gem Saga.  I will just go play RF Guerilla demo repeatedly. I (Mission Failed - YOU DIED) so many times from dicking around,1,twitter_test,2,negative,neutral,0.9149911
4 hours till Mothers Day Party  Yeah!,0,twitter_test,1,neutral,positive,0.9148332
"good film , but very glum . ",0,sst2_val,2,negative,positive,0.9148268
639 baby! GOD ITS SAD REALLY  oh well lifes a partaaay! xxxxxxxxxx,1,twitter_test,2,negative,neutral,0.9138391
i wish i wasn`t all  bummed but i kinda am,0,twitter_test,2,negative,positive,0.91218
""" well, i must say she is very lucky to have you! i guess that means no chillin and concert with me huh""",1,twitter_test,0,positive,neutral,0.91199523
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",2,sst2_val,0,positive,negative,0.90885144
i was so bored i decided to iron all my baju sklh. thn i realized i hate doing tht. so all i did was iron a sleeve HAHAHA. im off to schl,1,twitter_test,2,negative,neutral,0.90817773
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0,sst2_val,2,negative,positive,0.90748173
"""No phone call yett... Hrmm. Maybe a call from my end is in order?  I`ll wait a bit longer, Prom nights are often `spuratic` moments.""",2,twitter_test,1,neutral,negative,0.90715104
Up and washed  I`m clothing myself as I type xD WOOOO,0,twitter_test,1,neutral,positive,0.9068844
"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",0,sst2_val,2,negative,positive,0.90683633
I`m looking forward too see and hear you in Norway!! Live fast!,1,twitter_test,0,positive,neutral,0.9064581
a by-the-numbers patient/doctor pic that covers all the usual ground ,2,sst2_val,0,positive,negative,0.9060697
Momma martini went food shopping without me!!!!,2,twitter_test,1,neutral,negative,0.9060543
My near daily exercise is starting to show results.,1,twitter_test,0,positive,neutral,0.90480214
"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . ",2,sst2_val,0,positive,negative,0.90453786
weathers let me down this morning...ugh!...hada gd nite tho!,1,twitter_test,2,negative,neutral,0.90381956
i know im wrong .. just give me one more chance   sEnti .. :],1,twitter_test,2,negative,neutral,0.9028847
_LaMont yr very young looking dude,0,twitter_test,1,neutral,positive,0.9028372
Doing some test shooting later this afternoon.  Did I mention being in Holland for an indie wine festival this week? My tongue is red.,1,twitter_test,2,negative,neutral,0.901775
""" nevermind....I kept reading and see ya`ll r gonna be in Williamsburg   I`ll mind my business now, lol""",2,twitter_test,1,neutral,negative,0.9016623
Ghunghte Mein Chanda Hai Phir Bhi Hai Phela Chaaron Aur Ujala i love that songggggg ps  i got lost in morrisons,1,twitter_test,0,positive,neutral,0.9013957
"""_rose Mornin` !  Missed dance time, so I guess I will have to dance extra hard tomorrow...""",1,twitter_test,2,negative,neutral,0.89841145
most definitely,0,twitter_test,1,neutral,positive,0.8977239
will u say shoutout to NIKKI!!! please   (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),0,twitter_test,1,neutral,positive,0.8966201
_John Sounds like a terrific service. I`m sorry to hear about her mom.,2,twitter_test,1,neutral,negative,0.8963073
yeah...I hope it turns out... 20 more minutes!,1,twitter_test,0,positive,neutral,0.8962251
Well tell me what fashion tips you need and I`m your woman  hehehe,0,twitter_test,1,neutral,positive,0.8959641
we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,2,twitter_test,1,neutral,negative,0.89414
"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks . ",2,sst2_val,0,positive,negative,0.89397544
and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.,0,twitter_test,1,neutral,positive,0.8938302
